technology,year,e3genmod,postapril
Hydro,2030,46202.23692,45267.84
Hydro,2031,46202.03694,45168.77
Hydro,2032,46243.08018,44743.31
Hydro,2033,46198.23694,44274.48
Hydro,2034,46195.63693,44164.93
Hydro,2035,46195.03691,43989.75
Hydro,2036,46235.6541,43820.04
Hydro,2037,46202.71487,43763.97
Hydro,2038,46203.83696,43585.73
Hydro,2039,46198.23694,43276.21
Hydro,2040,46239.25409,43248.86
Hydro,2041,46201.53836,42945.68
Hydro,2042,46202.03694,43130.84
Hydro,2043,46202.06301,42989.56
Hydro,2044,46240.65409,42831.21
Hydro,2045,46189.43762,42552.52
Geo,2016,278952.3066,284896.11
Geo,2017,289473.1871,290493.98
Geo,2018,295770.9772,295577.51
Geo,2019,296368.4506,296202.89
Geo,2020,299375.2626,295270.24
Geo,2021,300382.2441,296388.52
Geo,2022,277779.0555,294556.95
Geo,2023,278471.2714,293314.41
Geo,2024,278847.3538,294101.37
Geo,2025,275122.7553,438279.11
Geo,2026,276526.8105,436414.99
Geo,2027,277140.4109,429021.35
Geo,2028,261465.9463,416203.83
Geo,2029,259916.5706,410911.66
Geo,2030,264675.3741,513944.73
Geo,2031,257726.5318,505432.98
Geo,2032,263346.1045,509008.51
Geo,2033,259419.7447,503369.04
Geo,2034,258497.5203,499282.45
Geo,2035,262561.6349,502268.37
Geo,2036,259608.857,503371.22
Geo,2037,259996.3955,502375.90
Geo,2038,259538.5719,500846.23
Geo,2039,259130.5419,499165.40
Geo,2040,260627.3507,500357.50
Geo,2041,260510.7153,501401.77
Geo,2042,259854.724,500096.87
Geo,2043,258467.0357,499788.89
Geo,2044,259072.4509,502106.42
Geo,2045,252021.6063,501950.42
